Autor,Obra
Palestrina,Sanctus 98 B 
Palestrina,Sanctus Rpt 00 
Palestrina,Sanctus Rpt 01 C 
Palestrina,Sanctus Rpt A 
Parry,I Was Glad When They Said Unto Me Bb major
Parry,Jerusalem Op208 D major
Peterson,Berger Entry into the Summergroove F major
Ponce,Prelude for Guitar and Harpsichord E major
Poulenc,Cinq Impromptus 2 Allegro Vivace C major
Poulenc,Cinq Impromptus 4 Violent C major
Poulenc,Trois Mouvements Perpetuels 3 Alerte F major
Prokofiev,Piano Concerto in G 2 Scherzo Op16No2 D minor
Prokofiev,Piano Sonata in D 2 ScherzoAllegro Marcato Op14No2 A minor
Prokofiev,Piano Sonata in D 3 Andante Op14No2 G# major
Prokofiev,Toccata Op11 D minor
Puccini,Madame Butterfly Humming chorus Bb major
Puccini,Madame Butterfly Introduction C minor
Puccini,Requiem D minor
Rachmaninov,10 PreludesPrelude in D Op23No4 D major
Rachmaninov,10 PreludesPrelude in Eb Op23No9 Eb minor
Rachmaninov,10 PreludesPrelude in G Op23No5 G minor
Rachmaninov,13 PreludesPrelude in A Op32No8 A minor
Rachmaninov,13 PreludesPrelude in Bb Op32No2 Bb minor
Rachmaninov,13 PreludesPrelude in Db Op32No13 Db major
Rachmaninov,13 PreludesPrelude in E Op32No3 E major
Rachmaninov,13 PreludesPrelude in G# Op32No12 G# minor
Rachmaninov,Etude Tableaux in A minor Op39No6 A minor
Rachmaninov,Etude Tableaux in Eb Op33No6 Eb major
Rachmaninov,Etude Tableaux Op33No3 C minor
Rachmaninov,Piano Concerto in D 2 Intermezzo Op30No3 D minor
Rachmaninov,Piano Sonata in D 3 Allegro Molto Op28No1 D minor
Rachmaninov,Sonata in G for Violoncello and Piano 3 Andante Op19 Eb minor
Rachmaninov,Suite from the Partita in E for Violin 1 Preludio E major
Rachmaninov,Suite from the Partita in E for Violin 2 Gavotte E major
Rameau,1e rigaudon 2e rigaudon double du 2e rigaudon E minor
Rameau,Dardanus Sommeil Rondeau tendre G minor
Rameau,Nouvellas Suites de Pieces de Clavecin 10 Menuet G major
Rameau,Nouvellas Suites de Pieces de Clavecin 12 Les Triolets G major
Rameau,Nouvellas Suites de Pieces de Clavecin 13 Les Sauvages G minor
Rameau,Nouvellas Suites de Pieces de Clavecin 14 LEnharmonique G minor
Rameau,Nouvellas Suites de Pieces de Clavecin 15 LEgyptienne G minor
Rameau,Nouvellas Suites de Pieces de Clavecin 2 Courante A minor
Rameau,Nouvellas Suites de Pieces de Clavecin 5 Fanfarinette A major
Rameau,Nouvellas Suites de Pieces de Clavecin 6 La Triomphante A major
Rameau,Nouvellas Suites de Pieces de Clavecin 8 Les Tricotets G major
Rameau,Nouvellas Suites de Pieces de Clavecin 9 Lindifferente G minor
Rameau,Pygmalion Air and Choeur LAmour Triomph F major
Rance,Classical Memories C major
Ravel,Concerto for Piano in G 2 Adagio Assai E major
Ravel,Gaspard de la Nuit Le Gibet Eb minor
Ravel,Le Tombeau de Couperin 1 Prelude G major
Ravel,Le Tombeau de Couperin 6 Toccata E minor
Ravel,Miroirs 1 Noctuellas C# major
Ravel,Miroirs 2 Oiseaux Tristes Eb minor
Ravel,Rapsodie Espagnole 2 Malaguena A major
Ravel,Sonatine for Piano 1 Modere F# major
Ravel,Sonatine for Piano 2 Menuet Db major
Ravel,TranscriptionsDebussyPrelude a l'apresmidi d'un faune E major
Ravel,Valses Nobles et Sentimentales 1 Modere Tres Franc G major
Ravel,Valses Nobles et Sentimentales 3 Modere E minor
Ravel,Valses Nobles et Sentimentales 4 Assez Anime Ab major
Ravel,Valses Nobles et Sentimentales 5 Presque Lent E major
Reger,Clarinet Quintet in A 3 Largo Op146 E major
Reger,Clarinet Quintet in A 4 Poco AllegrettoVivaceSostenuto Op146 A major
Reger,Fantasie und Fuge in D Fantasie Op135b D minor
Reger,Fantasie und Fuge in D Fuge Op135b D minor
Reger,Nine Pieces 2 Fugue Op129 D minor
Respighi,Antique Dances and Arias SuiteAnonymous Passo mezzo e mascherada D major
Respighi,Antique Dances and Arias SuiteAnonymous Villanella No1 B minor
Respighi,Antique Dances and Arias SuiteSimone Molinaro Balletto detto Il Conte Orlando No1 D major
Rieding,Concerto in B minor B minor
Saint,Saens 6 Etudes for the Left Hand Op 135 Alla fuga G major
Saint,Saens 6 Etudes for the Left Hand Op 135 Elegie Db major
Saint,Saens 6 Etudes for the Left Hand Op 135 Gigue G major
Saint,Saens 6 Etudes for the Left Hand Op 135 Moto perpetuo E major
Saint,Saens Valse Langoureuse Op 120 E major
Satie,Genuine Flabby Preludes for a dog F major
Satie,Sonatina Bureaucratiqu A major
Schubert,A tempo D821 V A Major
Schubert,Adagio D821 II E Major
Schubert,Adagio D958 II Ab Major
Schubert,An Sylvia D 891 F major
Schubert,Andante con moto D759 II E Major
Schubert,Andante D664 II D Major
Schubert,Andante D784 II F Major
Schubert,Andante D845 II C Major
Schubert,Andante D894 II D Major
Schubert,Andante sostenuto D960 II C# Minor
Schubert,Andantino D959 II A Major
Schubert,Ave Maria D839 G Major
Schubert,Def Hirt auf dem Felsen 2 D 965 Bb major
Schubert,Der Einsame D 800 Eb major
Schubert,Der Lindenbaum D911 E Major
Schubert,Der Zwerg D771 A Minor
Schubert,Die Post D911 XIII Eb Major
Schubert,Die Taubenpost D957 XIV G Major
Schubert,Dithyrambe D 801 Ab major
Schubert,Erstarrung D911 C Minor
Schubert,Fruhlingstraum D911 XI A Major
Schubert,Gefrorne Tranen D911 F Minor
Schubert,Gute Nacht D911 D Minor
Schubert,Heliopolis D754 C Minor
Schubert,Hongroise 2 D818 C Minor
Schubert,Im Dorfe D911 XVII D Major
Schubert,Landler 1 D790 D Major
Schubert,Menuetto D958 III C Minor
Schubert,Moment 1 D780 C Major
Schubert,Moment 2 D780 Ab Major
Schubert,Moment 4 D780 C# Minor
Schubert,Moment 5 D780 F Minor
Schubert,Octet in F Major D803 2 Bb Major
Schubert,Octet in F Major D803 4 C Major
Schubert,Pause D795 Bb Major
Schubert,Ruckblick D911 VIII G Minor
Schubert,Schwanengesang Aufenthalt D 957 E minor
Schubert,Schwanengesang Fischermadchen D 957 Ab major
Schubert,Schwanengesang In der Ferne D 957 B minor
Schubert,Schwanengesang Kriegers Ahnung D 957 2 C minor
Schubert,Schwanengesang Serenade D 957 4 D minor
Schubert,Schwangesang Liebesbotschaft D 957 1 E major
Schubert,Sehnsucht 1 D 52 G major
Schubert,Standchen D889 Bb Major
Schubert,String Quartet No 13 D804 2 C Major
Schubert,Sym10.III D936a III D Major
Schubert,Tantum Ergo D962 Eb Major
Schubert,Ungarische Melodie D817 B Minor
Schubert,Ungeduld D795 A Major
Schubert,Violin Sonatina in G minor D408 G Minor
Scriabin,Etude Op42No1 Db major
Scriabin,Etude Op42No5 C# minor
Scriabin,Etude Op42No8 Eb major
Scriabin,Etude Op65No1 F# minor
Scriabin,Etude Op65No3 C# major
Shostakovich,Aphorisms 7 Dance of Death Op13No7 F minor
Smetana,Ther Barbered Bride 2.1.2. Furiant F major
Smetana,Ther Barbered Bride 1.2.1. Recitativo Marenka and Jenik Aria Marenka G minor
Smetana,Ther Barbered Bride 1.2.2 Duett Marenka Jenik Verne Milovani G minor
Smetana,Ther Barbered Bride 2.1.1. Guys Chorus Jenik and Kecal Bb major
Strauss,Feierlicher einzug der Ritter des Johanniterordens Eb major
Stravinsky,Four Etudes for Piano Allegro Brillante Op7No2 D major
Stravinsky,Four Etudes for Piano Vivo Op7No4 F# major
Stravinsky,Oedipus Rex Dicere non possum G minor
Stravinsky,Oedipus Rex Non reperias vetus scelus C minor
Stravinsky,Oedipus Rex Respondit Deus C major
Stravinsky,Petrouchka 1 D major
Stravinsky,Petrouchka 1 Danse Russe Allegro Gusto D major
Stravinsky,Petrouchka 3 F# major
Stravinsky,The Rite of Spring Part II The Sacrifice Introduction Undeterminable
Tchaikovsky,Eugene Onegin 24 19 G Major
Tchaikovsky,Eugene Onegin 24 6 E Minor
Tchaikovsky,None but the Lonely Heart 6 6 D Major
Tchaikovsky,Nutcracker Suite 71 1 Bb Major
Tchaikovsky,Nutcracker Suite 71 2 G Major
Tchaikovsky,Romance 5 F Minor
Tchaikovsky,Serenade for Strings 48 III D Major
Tchaikovsky,Swan Lake 20 10 B Minor
Tchaikovsky,Swan Lake 20 12 C# Minor
Tchaikovsky,Swan Lake 20 13 I A Major
Tchaikovsky,Swan Lake 20 13 III A Major
Tchaikovsky,Swan Lake 20 13 VI Gb Major
Tchaikovsky,Swan Lake 20 14 B Minor
Tchaikovsky,Swan Lake 20 15 C Major
Tchaikovsky,Swan Lake 20 16 F Major
Tchaikovsky,Swan Lake 20 18 Db Major
Tchaikovsky,Swan Lake 20 19 II Bb Major
Tchaikovsky,Swan Lake 20 19 VII Ab Major
Tchaikovsky,Swan Lake 20 19b IV A Major
Tchaikovsky,Swan Lake 20 20 A Major
Tchaikovsky,Swan Lake 20 20b D Minor
Tchaikovsky,Swan Lake 20 21 F# Minor
Tchaikovsky,Swan Lake 20 22 A Major
Tchaikovsky,Swan Lake 20 24 C Major
Tchaikovsky,Swan Lake 20 26 A Minor
Tchaikovsky,Swan Lake 20 27 Bb Minor
Tchaikovsky,Swan Lake 20 28 Eb Minor
Tchaikovsky,Swan Lake 20 3 D Major
Tchaikovsky,Swan Lake 20 4 I Bb Major
Tchaikovsky,Swan Lake 20 4 II F Major
Tchaikovsky,Swan Lake 20 4 VI Bb Major
Tchaikovsky,Swan Lake 20 5 I D Major
Tchaikovsky,Swan Lake 20 5 IV Bb Major
Tchaikovsky,Swan Lake 20 6 E Major
Tchaikovsky,Swan Lake 20 7 E Major
Tchaikovsky,Swan Lake 20 8 E Major
Tchaikovsky,Swan Lake 20 9 B Minor
Tchaikovsky,Symphony 29 3 III D Minor
Tchaikovsky,Symphony 64 5 III A Major
Tchaikovsky,Symphony 74 6 IV B Minor
Vierne,Symphony for Organ in G 1 Prelude Quasi Lento Op32No4 G minor
Vivaldi,Concerto 11 6 I G Minor
Vivaldi,Concerto 11 6 III G Minor
Vivaldi,Concerto 12 1 I G Minor
Vivaldi,Concerto 120 I C Minor
Vivaldi,Concerto 120 III C Minor
Vivaldi,Concerto 129 I G Major
Vivaldi,Concerto 129 III G Major
Vivaldi,Concerto 155 14 I D Major
Vivaldi,Concerto 155 14 III D Major
Vivaldi,Concerto 158 I A Major
Vivaldi,Concerto 158 III A Major
Vivaldi,Concerto 212 I D Major
Vivaldi,Concerto 3 1 I D Major
Vivaldi,Concerto 3 1 III D Major
Vivaldi,Concerto 3 10 I B Minor
Vivaldi,Concerto 3 10 III B Minor
Vivaldi,Concerto 3 11 II D Minor
Vivaldi,Concerto 3 11 IV D Minor
Vivaldi,Concerto 3 2 II G Minor
Vivaldi,Concerto 3 2 IV G Minor
Vivaldi,Concerto 3 3 I G Major
Vivaldi,Concerto 3 3 III G Major
Vivaldi,Concerto 3 4 II E Minor
Vivaldi,Concerto 3 5 I A Major
Vivaldi,Concerto 3 5 III A Major
Vivaldi,Concerto 3 6 I A Minor
Vivaldi,Concerto 3 6 III A Minor
Vivaldi,Concerto 3 7 I F Major
Vivaldi,Concerto 3 7 III F Major
Vivaldi,Concerto 3 7 IV F Major
Vivaldi,Concerto 3 8 I A Minor
Vivaldi,Concerto 3 8 III A Minor
Vivaldi,Concerto 3 9 I D Major
Vivaldi,Concerto 363 I Bb Major
Vivaldi,Concerto 363 III Bb Major
Vivaldi,Concerto 392 I D Major
Vivaldi,Concerto 4 1 I Bb Major
Vivaldi,Concerto 4 1 III Bb Major
Vivaldi,Concerto 4 11 I D Major
Vivaldi,Concerto 4 11 III D Major
Vivaldi,Concerto 4 7 II C Major
Vivaldi,Concerto 425 I C Major
Vivaldi,Concerto 425 III C Major
Vivaldi,Concerto 433 I F Major
Vivaldi,Concerto 433 III F Major
Vivaldi,Concerto 455 I F Major
Vivaldi,Concerto 455 III F Major
Vivaldi,Concerto 461 I A Minor
Vivaldi,Concerto 461 III A Minor
Vivaldi,Concerto 462 I A Minor
Vivaldi,Concerto 478 I C Major
Vivaldi,Concerto 484 I E Minor
Vivaldi,Concerto 484 III E Minor
Vivaldi,Concerto 495 I G Minor
Vivaldi,Concerto 495 III G Minor
Vivaldi,Concerto 532 I G Major
Vivaldi,Concerto 532 III G Major
Vivaldi,Concerto 533 I C Major
Vivaldi,Concerto 533 III C Major
Vivaldi,Concerto 535 II D Minor
Vivaldi,Concerto 535 IV D Minor
Vivaldi,Concerto 537 I C Major
Vivaldi,Concerto 537 III C Major
Vivaldi,Concerto 540 I D Minor
Vivaldi,Concerto 540 III D Minor
Vivaldi,Concerto 548 I Bb Major
Vivaldi,Concerto 580 B Minor
Vivaldi,Concerto 7 8 I G Major
Vivaldi,Concerto 7 8 III G Major
Vivaldi,Concerto 8 10 I Bb Major
Vivaldi,Concerto 8 10 III Bb Major
Vivaldi,Concerto 8 12 I C Major
Vivaldi,Concerto 8 12 III C Major
Vivaldi,Concerto 8 5 I Eb Major
Vivaldi,Concerto 8 5 III Eb Major
Vivaldi,Concerto 8 6 I C Major
Vivaldi,Concerto 8 6 III C Major
Vivaldi,Concerto 8 7 I D Minor
Vivaldi,Concerto 8 7 III D Minor
Vivaldi,Concerto 8 8 I G Minor
Vivaldi,Concerto 8 8 III G Minor
Vivaldi,Concerto 8 9 I D Minor
Vivaldi,Concerto 8 9 III D Minor
Vivaldi,Concerto 9 2 I A Major
Vivaldi,Concerto 9 2 III A Major
Vivaldi,Concerto 9 4 I E Major
Vivaldi,Concerto 9 4 III E Major
Vivaldi,Concerto 9 5 I A Minor
Vivaldi,Concerto 9 5 III A Minor
Vivaldi,Concerto 9 6 I A Major
Vivaldi,Concerto 9 8 I D Minor
Vivaldi,Concerto 9 8 III D Minor
Vivaldi,Concerto 93 I D Major
Vivaldi,Concerto 93 III D Major
Vivaldi,Sonata 43 3 I A Minor
Vivaldi,Sonata 43 3 II A Minor
Vivaldi,Sonata 43 3 III A Minor
Vivaldi,Sonata 43 3 IV A Minor
Vivaldi,The Four Seasons 8 1 I E Major
Vivaldi,The Four Seasons 8 2 I G Minor
Vivaldi,The Four Seasons 8 2 III G Minor
Vivaldi,The Four Seasons 8 3 I F Major
Vivaldi,The Four Seasons 8 3 III F Major
Vivaldi,The Four Seasons 8 4 I F Minor
